Day,Date,Unit,Lesson,Enduring Understanding,Essential Question (Aim),"Learning Objectives (SMART, Quantifiable)",Agenda & Pacing (90 min),Teacher Materials,Student Materials,Links,Formative Assessment (CFU),Summative Assessment,Differentiation,Scaffolding,Standards
19,10/2/2025,Debugging Loops,Loop errors,Debugging improves reliability,How do we prevent loop errors?,(1) Diagnose 6 faulty loops,"45m bug hunt, 15m CFU, 30m lab",Bug worksheet,Device,IDE,CFU,Lab rubric,Error menus,Trace table,CSTA 2-AP-4
20,10/3/2025,Lists I,Basics: indexing,Collections store multiple values,How can we store groups of data?,(1) Create and index lists,"40m lesson, 15m CFU, 35m lab",Slides,Device,IDE,Quiz,Lab rubric,Challenges,Index cards,CSTA 2-AP-5
21,10/6/2025,Lists II,"Methods: append, remove",Lists are dynamic,How do we modify contents?,(1) Apply 5 list methods,"40m lesson, 15m quiz, 35m lab",Slides,Device,IDE,Quiz,Lab rubric,Feature choice,Reference card,CSTA 2-AP-6
22,10/7/2025,Lists III,Searching & membership,Algorithms process collections,How do we search data?,(1) Implement linear search,"35m lesson, 20m practice, 35m lab",Slides,Device,IDE,CFU,Lab rubric,Extensions,Scaffolds,CSTA 2-AP-7
23,10/8/2025,Mini Project,Flashcards/menu app,Abstraction + storage empower,How can lists design apps?,(1) Implement 4 features,"20m review, 10m CFU, 60m build",Project brief,Device,IDE,Check-in,Project rubric,Feature choice,Example,"ISTE 4, 5"
24,10/9/2025,Review & Quiz,Quiz 2 (loops/lists),Assessment checks mastery,What loops & lists skills have we built?,(1) Pass quiz ≥70%,"30m quiz, 20m review, 40m reteach",Quiz,Device,—,Quiz,Quiz grade,Alt forms,Solutions,CSTA Review/Assess
25,10/10/2025,Functions I,Defining functions,Functions create reusable code,Why package code?,(1) Write 3 functions,"45m demo, 15m CFU, 30m lab",Slides,Device,IDE,CFU quiz,Lab rubric,Hints,Templates,CSTA 2-AP-1
26,10/14/2025,Functions II,Parameters,Functions accept inputs,How do parameters make code flexible?,(1) Create 3 functions with parameters,"40m demo, 15m quiz, 35m lab",Slides,Device,IDE,Quiz,Lab rubric,Scaffold,Examples,"CSTA 2-AP-1, 2-AP-2"
27,10/15/2025,Functions III,Return values,Functions send data back,Why use return?,(1) Write 3 returning functions,"40m demo, 15m CFU, 35m lab",Slides,Device,IDE,CFU,Lab rubric,Choices,Templates,"CSTA 2-AP-1, 2-AP-3"
28,10/16/2025,Functions IV,Scope,Scope controls variable access,How does scope prevent errors?,(1) Differentiate local/global vars,"40m demo, 15m quiz, 35m lab",Slides,Device,IDE,Quiz,Lab rubric,Examples,Highlighting,"CSTA 2-AP-1, 2-AP-4"
29,10/17/2025,Debugging Functions,"Errors in scope, return",Debugging ensures accuracy,How do we fix function errors?,(1) Debug 5 function snippets,"30m bug hunt, 15m CFU, 45m lab",Debugging slides,Device,IDE,Error check,Debug log,Pair work,Guide sheet,"CSTA 2-AP-17, 2-AP-19"
30,10/20/2025,EarSketch II,Using loops in music,Loops automate structure,How can loops make rhythm?,(1) Compose 16-bar loop,"20m demo, 15m CFU, 55m lab",Slides,Headphones,EarSketch,Track check,Music rubric,Genre choice,Templates,"CSTA 2-AP-12, ISTE 4"
31,10/21/2025,Project,Mini music project,Creativity uses code + art,How do we design music with Python?,(1) Create 30-sec track,"15m review, 10m CFU, 65m project",Brief,Device,EarSketch,Check-in,Rubric,Student choice,Samples,"ISTE 4, 5"
32,10/22/2025,Review,Unit 2 Review,Review builds mastery,What core skills have we gained?,(1) Complete review worksheet,"45m review, 15m CFU, 30m lab",Review slides,Worksheet,IDE,Exit slip,Review worksheet,Extra support,Peer teaching,CSTA Review/Assess
33,10/23/2025,Assessment,Unit 2 Test,Assessment confirms growth,What do we know about functions & loops?,(1) Score ≥70%,"60m test, 30m reflection",Test,Device,IDE,Test,Test grade,Extra time,Read aloud,CSTA Review/Assess
34,10/24/2025,Strings I,Basics & indexing,Strings store text,How do we access text data?,(1) Index & slice strings,"40m demo, 15m CFU, 35m lab",Slides,Device,IDE,Quiz,Lab rubric,Scaffold,Examples,CSTA 2-AP-1
35,10/27/2025,Strings II,String methods,Methods modify text,How do we process text?,(1) Apply 6 string methods,"40m lesson, 15m quiz, 35m lab",Slides,Device,IDE,Quiz,Lab rubric,Options,Method chart,CSTA 2-AP-2
36,10/28/2025,Strings III,Concatenation & formatting,Formatting shapes output,How do we combine text?,(1) Concatenate & format 3 outputs,"30m demo, 15m CFU, 45m lab",Slides,Device,IDE,CFU,Lab rubric,Choice,Templates,CSTA 2-AP-3
37,10/29/2025,Debugging Strings,Common errors,Debugging builds reliability,How do we fix string errors?,(1) Debug 5 snippets,"40m bug hunt, 15m quiz, 35m lab",Debug slides,Device,IDE,Quiz,Debug log,Pairing,Error menu,CSTA 2-AP-4
38,10/30/2025,EarSketch III,Effects & automation,Music changes over time,How can we code sound effects?,(1) Add 3 effects,"25m demo, 15m CFU, 50m lab",Slides,Headphones,EarSketch,Track check,Music rubric,Genre,Templates,"CSTA 2-AP-12, ISTE 6"
39,10/31/2025,EarSketch IV,Structuring full songs,Structure guides flow,How can we code song form?,(1) Write verse-chorus,"20m demo, 15m CFU, 55m lab",Slides,Device,EarSketch,Check-in,Rubric,Choice,Templates,"CSTA 2-AP-12, ISTE 7"
40,11/3/2025,Project,EarSketch showcase,Sharing builds confidence,How do we present music projects?,(1) Share 30-sec track,"15m setup, 60m showcase, 15m reflection",Showcase slides,Device,EarSketch,Peer feedback,Showcase rubric,Extra time,Prompt sheet,"ISTE 4, 5"
41,11/5/2025,Data I,Intro to data & CSV,Data tells stories,How can we use CSVs?,(1) Load & parse CSV,"40m lesson, 15m quiz, 35m lab",Slides,Device,IDE,Quiz,Lab rubric,Supports,Dataset,"CSTA 2-DA-07, DA1"
42,11/6/2025,Data II,Cleaning & filtering,Cleaning makes data usable,How do we filter rows?,(1) Filter dataset,"40m demo, 15m CFU, 35m lab",Slides,Device,IDE,CFU,Lab rubric,Options,Examples,"CSTA 2-DA-07, DA2"
43,11/7/2025,Data III,Visualization basics,Visualization clarifies,How can charts tell stories?,(1) Create 2 charts,"35m demo, 15m CFU, 40m lab",Slides,Device,IDE,CFU,Chart rubric,Extensions,Templates,"CSTA 2-DA-07, DA3"
44,11/10/2025,Data IV,Big data & ethics,Data has impact,What are risks & benefits of big data?,(1) Discuss case study; (2) write reflection,"45m discussion, 15m CFU, 30m lab",Case study,Notebook,Reading,Exit slip,Reflection,Choices,Prompts,Same as Day 41 + CSTA 2-IC-20
45,11/12/2025,Project,Data project,Data → insight,How can we analyze a dataset?,(1) Analyze dataset; (2) present findings,"20m intro, 10m CFU, 60m project",Project brief,Dataset,IDE,Check-in,Rubric,Dataset choice,Template,"ISTE 4, 5"
46,11/13/2025,Review,Data review,Review solidifies,What did we learn about data?,(1) Review worksheet,"45m review, 15m quiz, 30m lab",Slides,Worksheet,IDE,Quiz,Worksheet grade,Extra time,Peer support,CSTA Review/Assess
47,11/14/2025,Assessment,Data test,Assess data skills,How do we show mastery?,(1) Pass test ≥70%,"60m test, 30m reflection",Test,Device,IDE,Test,Test grade,Extra time,Read aloud,Same as Day 46
48,11/17/2025,Review,Midterm review,Prep consolidates skills,What do we know so far?,(1) Complete review packet,"45m review, 15m quiz, 30m lab",Slides,Packet,IDE,Quiz,Review grade,Options,Peer teach,Same as Day 46
49,11/18/2025,Assessment,Midterm exam,Assess half-course,What skills have we mastered?,(1) Score ≥70%,90m exam,Exam,Device,IDE,Exam,Exam grade,Extra time,Read aloud,Same as Day 46
50,11/19/2025,Projects,Midterm reflections,Reflection deepens learning,How do we improve?,(1) Write 1-page reflection,"30m writing, 60m sharing",Prompt,Notebook,Device,Reflection,Reflection rubric,Supports,Sentence frames,ISTE 5
51,11/20/2025,Lists I,Intro to lists,Lists store multiple values,How do lists organize data?,(1) Create & access lists,"40m lesson, 15m CFU, 35m lab",Slides,Device,IDE,Quiz,Lab rubric,Scaffold,Examples,"CSTA 2-AP-1, 2-AP-2"
52,11/21/2025,Lists II,List methods,Methods modify collections,How can we process lists?,(1) Use 5 list methods,"40m demo, 15m quiz, 35m lab",Slides,Device,IDE,Quiz,Lab rubric,Choice,Cheat sheet,Same as Day 51
53,11/24/2025,Lists III,Nested lists,Nested lists hold complex data,How do we use lists of lists?,(1) Create & access nested lists,"40m demo, 15m CFU, 35m lab",Slides,Device,IDE,CFU,Lab rubric,Support,Diagram,Same as Day 51
–,11/25/2025,⛔ HS PTC (3 hrs early),–,–,–,–,–,–,–,–,–,–,–,–,–
–,2025-11-27–28,⛔ Thanksgiving Recess,–,–,–,–,–,–,–,–,–,–,–,–,–
54,12/1/2025,Lists IV,Iteration with lists,Loops traverse collections,How can we process list data?,(1) Write 3 loops over lists,"40m demo, 15m CFU, 35m lab",Slides,Device,IDE,Quiz,Lab rubric,Pairing,Templates,Same as Day 51
55,12/2/2025,Debugging Lists,Errors in indexing,Debugging builds accuracy,How do we avoid index errors?,(1) Debug 5 code snippets,"30m bug hunt, 15m quiz, 45m lab",Debug slides,Device,IDE,Quiz,Debug log,Pair work,Guide sheet,"CSTA 2-AP-17, 2-AP-19"
56,12/3/2025,EarSketch V,Lists in music,Lists create variation,How do lists control sound patterns?,(1) Use lists to control tracks,"20m demo, 15m CFU, 55m lab",Slides,Headphones,EarSketch,Check-in,Music rubric,Genre choice,Templates,"CSTA 2-AP-12, ISTE 6"
57,12/4/2025,Project,Music w/ lists,Code + creativity,How can lists shape a composition?,(1) Compose 30-sec track,"15m review, 10m CFU, 65m lab",Project brief,Device,EarSketch,Track check,Project rubric,Choice,Samples,"ISTE 4, 5"
58,12/5/2025,Review,Unit 3 Review,Review consolidates,What have we learned about lists?,(1) Complete review worksheet,"45m review, 15m quiz, 30m lab",Review slides,Worksheet,IDE,Quiz,Worksheet grade,Scaffold,Peer teaching,CSTA Review/Assess
59,12/8/2025,Assessment,Unit 3 Test,Assessment confirms growth,How well do we use lists?,(1) Score ≥70%,"60m test, 30m reflection",Test,Device,IDE,Test,Test grade,Extra time,Read aloud,Same as Day 58
60,12/9/2025,Review,GameJam prep,Practice supports projects,How do we prepare for GameJam?,(1) Plan project in groups,"30m brainstorm, 60m team prep",Slides,Device,IDE,Check-in,Plan sheet,Supports,Template,"ISTE 4, 5"
61,12/10/2025,Project,Team coding day 1,Collaboration builds success,How can we code as a team?,(1) Begin group project,"15m setup, 75m team coding",Project brief,Device,IDE,Check-in,Rubric,Roles,Scaffolds,Same as Day 60
62,12/11/2025,Project,Team coding day 2,Iteration improves code,How can we refine our game/music?,(1) Continue coding project,"10m review, 80m coding",Slides,Device,IDE,CFU,Rubric,Peer review,Checklists,Same as Day 60
63,12/12/2025,🎮 GameJam,Showcase event,Projects showcase learning,How do we present creative coding?,(1) Present group projects,90m showcase event,Showcase slides,Device,Project files,Peer eval,Showcase rubric,Roles,Reflection,"ISTE 4, ISTE 5"
–,2025-12-15–12-31,⛔ Winter Recess,–,–,–,–,–,–,–,–,–,–,–,–,–
64,1/2/2026,Review,Semester review,Consolidation aids finals,What are our key takeaways?,(1) Review packet completion,"45m review, 15m quiz, 30m lab",Slides,Packet,IDE,Quiz,Packet grade,Scaffold,Peer teach,CSTA Review/Assess
65,1/5/2026,Project,Portfolio workshop I,Portfolios show growth,How do we document work?,(1) Draft project write-ups,"20m demo, 15m CFU, 55m work",Slides,Device,IDE,CFU,Draft review,Supports,Guide sheet,ISTE 5
66,1/6/2026,Project,Portfolio workshop II,Reflection deepens learning,How do we finalize projects?,(1) Finalize portfolio entries,"15m review, 15m CFU, 60m work",Slides,Device,IDE,Check-in,Draft rubric,Extra time,Checklist,ISTE 5
67,1/7/2026,Presentation,Portfolio presentations I,Presentations build communication,How do we share work effectively?,(1) Present portfolio projects,90m student presentations,Slides,Device,IDE,Peer feedback,Presentation rubric,Extra time,Prompt sheet,ISTE 6
68,1/8/2026,Presentation,Portfolio presentations II,Communication shows mastery,How do we present final projects?,(1) Continue portfolio presentations,90m student presentations,Slides,Device,IDE,Peer feedback,Rubric,Extra time,Prompt sheet,Same as Day 67
69,1/9/2026,Review,Final exam prep,Prep builds confidence,How can we succeed on final?,(1) Complete practice exam,"45m review, 45m practice test",Practice exam,Device,IDE,Quiz,Practice test grade,Supports,Extra time,CSTA Review/Assess
70,1/12/2026,Assessment,Final exam,Assessment evaluates mastery,How well do we know Python?,(1) Score ≥70%,90m exam,Exam,Device,IDE,Exam,Final grade,Supports,Read aloud,Same as Day 69
